88 315 130 123 15 327 323 246 328 98 75
89 282 36 18 170 260 79 378 200 2 141
90 173 260 235 88 128 271 277 143 86 313
91 75 276 122 3 100 208 215 363 154 65
92 18 370 313 25 93 152 363 197 283 35
93 78 75 286 272 16 97 258 24 197 179
94 323 23 20 282 125 9 182 258 30 260
95 70 9 18 313 30 250 173 273 294 21
96 239 2 269 44 208 283 325 309 285 127
97 282 73 69 250 44 200 378 141 238 334
98 180 152 150 323 73 16 202 41 31 175
99 235 282 109 175 305 344 313 258 62 7
100 298 98 271 154 101 322 4 270 243 324
101 41 78 1 364 313 272 177 211 16 363
102 173 2 370 10 312 27 1 243 175 182
103 323 327 125 282 45 31 30 260 109 175
104 246 237 81 148 3 10 313 175 243 215
105 173 358 73 2 276 230 172 100 211 44
106 325 347 75 230 172 83 285 278 128 288
107 173 125 45 282 370 202 93 41 177 211
108 75 282 152 313 301 258 175 187 25 48
109 130 123 300 269 299 208 215 131 170 57
110 347 325 75 27 1 319 210 286 283 2
111 316 312 100 86 175 243 269 95 89 286
112 2 370 41 272 268 175 243 313 208 100
113 41 15 3 101 10 243 175 328 100 210
114 70 41 93 150 86 288 208 215 2 269
115 173 235 289 2 143 294 196 288 86 343
116 315 41 15 82 130 36 35 377 322 231
117 9 222 364 89 299 97 313 30 250 258
118 41 141 9 363 179 25 48 230 77 285
119 260 325 347 18 288 86 230 172 25 60
120 235 45 282 152 150 273 283 141 334 238
121 23 141 324 11 250 30 173 273 172 61
122 324 98 243 109 286 354 311 276 56 104
123 289 18 277 10 141 363 179 282 125 16
124 180 66 298 41 235 152 324 130 36 150
125 323 235 41 189 2 177 211 260 93 325
126 15 246 98 364 237 370 312 210 109 316
127 41 130 123 282 35 125 45 131 273 83
